date	impfstoff	region	dosen	einrichtung
2020-12-26	comirnaty	DE-BW	9750	impfzentren
2020-12-26	comirnaty	DE-BY	9750	impfzentren
2020-12-26	comirnaty	DE-BE	9750	impfzentren
2020-12-26	comirnaty	DE-BB	9750	impfzentren
2020-12-26	comirnaty	DE-HB	4875	impfzentren
2020-12-26	comirnaty	DE-HH	9750	impfzentren
2020-12-26	comirnaty	DE-HE	9750	impfzentren
2020-12-26	comirnaty	DE-MV	9750	impfzentren
2020-12-26	comirnaty	DE-NI	9750	impfzentren
2020-12-26	comirnaty	DE-NW	9750	impfzentren
2020-12-26	comirnaty	DE-RP	9750	impfzentren
2020-12-26	comirnaty	DE-SL	9750	impfzentren
2020-12-26	comirnaty	DE-SN	9750	impfzentren
2020-12-26	comirnaty	DE-ST	9750	impfzentren
2020-12-26	comirnaty	DE-SH	9750	impfzentren
2020-12-26	comirnaty	DE-TH	9750	impfzentren
2020-12-28	comirnaty	DE-BW	78000	impfzentren
2020-12-28	comirnaty	DE-BY	97500	impfzentren
2020-12-28	comirnaty	DE-BE	19500	impfzentren
2020-12-28	comirnaty	DE-BB	9750	impfzentren
2020-12-28	comirnaty	DE-HB	0	impfzentren
2020-12-28	comirnaty	DE-HH	4875	impfzentren
2020-12-28	comirnaty	DE-HE	39000	impfzentren
2020-12-28	comirnaty	DE-MV	4875	impfzentren
2020-12-28	comirnaty	DE-NI	53625	impfzentren
2020-12-28	comirnaty	DE-NW	131625	impfzentren
2020-12-28	comirnaty	DE-RP	24375	impfzentren
2020-12-28	comirnaty	DE-SL	0	impfzentren
2020-12-28	comirnaty	DE-SN	24375	impfzentren
2020-12-28	comirnaty	DE-ST	9750	impfzentren
2020-12-28	comirnaty	DE-SH	14625	impfzentren
2020-12-28	comirnaty	DE-TH	9750	impfzentren
2020-12-30	comirnaty	DE-BW	79950	impfzentren
2020-12-30	comirnaty	DE-BY	101400	impfzentren
2020-12-30	comirnaty	DE-BE	29250	impfzentren
2020-12-30	comirnaty	DE-BB	19500	impfzentren
2020-12-30	comirnaty	DE-HB	4875	impfzentren
2020-12-30	comirnaty	DE-HH	14625	impfzentren
2020-12-30	comirnaty	DE-HE	48750	impfzentren
2020-12-30	comirnaty	DE-MV	14625	impfzentren
2020-12-30	comirnaty	DE-NI	58500	impfzentren
2020-12-30	comirnaty	DE-NW	140400	impfzentren
2020-12-30	comirnaty	DE-RP	34125	impfzentren
2020-12-30	comirnaty	DE-SL	9750	impfzentren
2020-12-30	comirnaty	DE-SN	34125	impfzentren
2020-12-30	comirnaty	DE-ST	19500	impfzentren
2020-12-30	comirnaty	DE-SH	24375	impfzentren
2020-12-30	comirnaty	DE-TH	19500	impfzentren
2021-01-08	comirnaty	DE-BW	92625	impfzentren
2021-01-08	comirnaty	DE-BY	112125	impfzentren
2021-01-08	comirnaty	DE-BE	29250	impfzentren
2021-01-08	comirnaty	DE-BB	19500	impfzentren
2021-01-08	comirnaty	DE-HB	4875	impfzentren
2021-01-08	comirnaty	DE-HH	14625	impfzentren
2021-01-08	comirnaty	DE-HE	48750	impfzentren
2021-01-08	comirnaty	DE-MV	14625	impfzentren
2021-01-08	comirnaty	DE-NI	63375	impfzentren
2021-01-08	comirnaty	DE-NW	146250	impfzentren
2021-01-08	comirnaty	DE-RP	34125	impfzentren
2021-01-08	comirnaty	DE-SL	9750	impfzentren
2021-01-08	comirnaty	DE-SN	34125	impfzentren
2021-01-08	comirnaty	DE-ST	19500	impfzentren
2021-01-08	comirnaty	DE-SH	24375	impfzentren
2021-01-08	comirnaty	DE-TH	19500	impfzentren
2021-01-12	moderna	DE-BW	8400	impfzentren
2021-01-12	moderna	DE-BY	9600	impfzentren
2021-01-12	moderna	DE-BE	2400	impfzentren
2021-01-12	moderna	DE-BB	2400	impfzentren
2021-01-12	moderna	DE-HB	1200	impfzentren
2021-01-12	moderna	DE-HH	1200	impfzentren
2021-01-12	moderna	DE-HE	4800	impfzentren
2021-01-12	moderna	DE-MV	1200	impfzentren
2021-01-12	moderna	DE-NI	6000	impfzentren
2021-01-12	moderna	DE-NW	13200	impfzentren
2021-01-12	moderna	DE-RP	3600	impfzentren
2021-01-12	moderna	DE-SL	1200	impfzentren
2021-01-12	moderna	DE-SN	3600	impfzentren
